"","title","amount","dep","trans","views","city","states","date","time"
"935","I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",2500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",17,"Bangalore","Karnataka",2015-10-12,22
"936","I Paid Rs. 5000 to Stamps and Registration in Udaipur.",5000,"Stamps and Registration","Marriage Certificate",59,"Udaipur","Rajasthan",2015-10-12,22
"937","I Paid Rs. 700 to Commercial Tax, Sales Tax, VAT in Bangalore.",700,"Commercial Tax, Sales Tax, VAT","C Form",22,"Bangalore","Karnataka",2015-10-12,22
"938","I Paid Rs. 2000 to Stamps and Registration in Duliajan Oil Town.",2000,"Stamps and Registration","Marriage Certificate",19,"Duliajan Oil Town","Assam",2015-10-12,22
"939","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",13,"Bangalore","Karnataka",2015-10-12,22
"940","I Paid Rs. 1000 to Police in Bangalore.",1000,"Police","Filing FIR",20,"Bangalore","Karnataka",2015-10-12,22
"941","I Paid Rs. 2500 to Police in Hyderabad.",2500,"Police","Police Verification for Passport",55,"Hyderabad","Telangana",2015-10-12,22
"942","I Paid Rs. 900 to Food, Civil Supplies and Consumer Affairs in Bangalore.",900,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",16,"Bangalore","Karnataka",2015-10-12,22
"943","I Paid Rs. 250 to Food, Civil Supplies and Consumer Affairs in Bangalore.",250,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",16,"Bangalore","Karnataka",2015-10-12,22
"944","I Paid Rs. 600 to Food, Civil Supplies and Consumer Affairs in Bangalore.",600,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",17,"Bangalore","Karnataka",2015-10-12,22
"945","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",18,"Bangalore","Karnataka",2015-10-12,22
"946","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",20,"Bangalore","Karnataka",2015-10-12,22
"947","I Paid Rs. 20000 to Food, Civil Supplies and Consumer Affairs in Tirwaganj.",20000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",17,"Tirwaganj","Uttar Pradesh",2015-10-12,22
"948","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport","Duplicate Registration Certificate",18,"Bangalore","Karnataka",2015-10-12,22
"949","I Paid Rs. 2000 to Passport in Hyderabad.",2000,"Passport","Police Verification for Passport",57,"Hyderabad","Telangana",2015-10-12,22
"950","I Paid Rs. 900 to Police in Bangalore.",900,"Police","Filing FIR",16,"Bangalore","Karnataka",2015-10-12,22
"951","I Paid Rs. 2500 to Stamps and Registration in Bangalore.",2500,"Stamps and Registration","Marriage Certificate",19,"Bangalore","Karnataka",2015-10-12,22
"952","I Paid Rs. 500 to Transport in Abohar.",500,"Transport","Duplicate Registration Certificate",75,"Abohar","Punjab",2015-10-12,22
"953","I Paid Rs. 600 to Police in Bangalore.",600,"Police","Filing FIR",11,"Bangalore","Karnataka",2015-10-12,22
"954","I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Tirupati.",2000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",31,"Tirupati","Andhra Pradesh",2015-10-12,22
"955","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",17,"Bangalore","Karnataka",2015-10-12,22
"956","I Paid Rs. 600 to Food, Civil Supplies and Consumer Affairs in Adari.",600,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",48,"Adari","Uttar Pradesh",2015-10-12,22
"957","I Paid Rs. 467 to Police in Abohar.",467,"Police","Filing FIR",75,"Abohar","Punjab",2015-10-12,22
"958","I Paid Rs. 8500 to Stamps and Registration in Amreli.",8500,"Stamps and Registration","Registration of Property",20,"Amreli","Gujarat",2015-10-12,22
"959","I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.",500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",13,"Bangalore","Karnataka",2015-10-12,22
"960","I Paid Rs. 700 to Food, Civil Supplies and Consumer Affairs in Bangalore.",700,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",11,"Bangalore","Karnataka",2015-10-12,22
"961","I Paid Rs. 400 to Police in Anugul.",400,"Police","Filing FIR",28,"Anugul","Orissa",2015-10-12,22
"962","I Paid Rs. 800 to Transport in Bangalore.",800,"Transport","Duplicate Registration Certificate",12,"Bangalore","Karnataka",2015-10-12,22
"963","I Paid Rs. 546 to Commercial Tax, Sales Tax, VAT in Abohar.",546,"Commercial Tax, Sales Tax, VAT","C Form",76,"Abohar","Punjab",2015-10-12,22
"964","I Paid Rs. 30 to Transport in Adari.",30,"Transport","Duplicate Registration Certificate",46,"Adari","Uttar Pradesh",2015-10-12,22
"965","I Paid Rs. 12000 to Food, Civil Supplies and Consumer Affairs in Tiruppur.",12000,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",39,"Tiruppur","Tamil Nadu",2015-10-12,22
"966","I Paid Rs. 800 to Railways in Bangalore.",800,"Railways","Transport of Goods",71,"Bangalore","Karnataka",2015-10-12,22
"967","I Paid Rs. 2500 to Police in Bangalore.",2500,"Police","Filing FIR",9,"Bangalore","Karnataka",2015-10-12,22
"968","I Paid Rs. 354 to Transport in Adari.",354,"Transport","Duplicate Registration Certificate",37,"Adari","Uttar Pradesh",2015-10-12,22
"969","I Paid Rs. 900 to Transport in Bangalore.",900,"Transport","Duplicate Registration Certificate",10,"Bangalore","Karnataka",2015-10-12,22
"970","I Paid Rs. 20000 to Stamps and Registration in Tirupati.",20000,"Stamps and Registration","Marriage Certificate",33,"Tirupati","Andhra Pradesh",2015-10-12,22
"971","I Paid Rs. 600 to Commercial Tax, Sales Tax, VAT in Bangalore.",600,"Commercial Tax, Sales Tax, VAT","C Form",15,"Bangalore","Karnataka",2015-10-12,22
"972","I Paid Rs. 800 to Customs, Excise and Service Tax in Adoni.",800,"Customs, Excise and Service Tax","Customs Check and Clearance",53,"Adoni","Andhra Pradesh",2015-10-12,22
"973","I Paid Rs. 650 to Passport in Adityapur.",650,"Passport","Police Verification for Passport",73,"Adityapur","Jharkhand",2015-10-12,22
"974","I Paid Rs. 3546 to Police in Adari.",3546,"Police","Filing FIR",38,"Adari","Uttar Pradesh",2015-10-12,22
"975","I Paid Rs. 50 to Customs, Excise and Service Tax in Adityapur.",50,"Customs, Excise and Service Tax","Customs Check and Clearance",59,"Adityapur","Jharkhand",2015-10-12,22
"976","I Paid Rs. 500 to Police in Adityapur.",500,"Police","Filing FIR",63,"Adityapur","Jharkhand",2015-10-12,22
"977","I Paid Rs. 434 to Commercial Tax, Sales Tax, VAT in Adityapur.",434,"Commercial Tax, Sales Tax, VAT","C Form",73,"Adityapur","Jharkhand",2015-10-12,22
"978","I Paid Rs. 350 to Police in Adari.",350,"Police","Filing FIR",34,"Adari","Uttar Pradesh",2015-10-12,22
"979","I Paid Rs. 700 to Commercial Tax, Sales Tax, VAT in Arakkonam.",700,"Commercial Tax, Sales Tax, VAT","C Form",23,"Arakkonam","Tamil Nadu",2015-10-12,22
"980","I Paid Rs. 2500 to Stamps and Registration in Bangalore.",2500,"Stamps and Registration","Marriage Certificate",11,"Bangalore","Karnataka",2015-10-12,22
"981","I Paid Rs. 3000 to Stamps and Registration in Tirupathur.",3000,"Stamps and Registration","Marriage Certificate",16,"Tirupathur","Tamil Nadu",2015-10-12,22
"982","I Paid Rs. 75 to Stamps and Registration in Adari.",75,"Stamps and Registration","Marriage Certificate",20,"Adari","Uttar Pradesh",2015-10-12,22
"983","I Paid Rs. 500 to Transport in Barpeta.",500,"Transport","Duplicate Registration Certificate",11,"Barpeta","Assam",2015-10-12,22
"984","I Paid Rs. 4545 to Transport in Adari.",4545,"Transport","Duplicate Registration Certificate",27,"Adari","Uttar Pradesh",2015-10-12,22
"985","I Paid Rs. 900 to Transport in Bangalore.",900,"Transport","Duplicate Registration Certificate",14,"Bangalore","Karnataka",2015-10-12,22
"986","I Paid Rs. 30 to Food, Civil Supplies and Consumer Affairs in Adari.",30,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",27,"Adari","Uttar Pradesh",2015-10-12,22
"987","I Paid Rs. 20000 to Transport in Tirunelveli.",20000,"Transport","New Domestic Driving License",23,"Tirunelveli","Tamil Nadu",2015-10-12,22
"988","I Paid Rs. 400 to Food, Civil Supplies and Consumer Affairs in Amethi.",400,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",23,"Amethi","Uttar Pradesh",2015-10-12,22
"989","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",15,"Bangalore","Karnataka",2015-10-12,22
"990","I Paid Rs. 200 to Transport in Adilabad.",200,"Transport","Duplicate Registration Certificate",91,"Adilabad","Telangana",2015-10-12,22
"991","I Paid Rs. 1000 to Municipal Services in New Delhi.",1000,"Municipal Services","Birth Certificate",39,"New Delhi","Delhi",2015-10-12,22
"992","I Paid Rs. 2000 to Income Tax in Tirukkoyilur.",2000,"Income Tax","New PAN Card",21,"Tirukkoyilur","Tamil Nadu",2015-10-12,22
"993","I Paid Rs. 200 to Stamps and Registration in Adityapur.",200,"Stamps and Registration","Marriage Certificate",58,"Adityapur","Jharkhand",2015-10-12,22
"994","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Filing FIR",11,"Bangalore","Karnataka",2015-10-12,22
"995","I Paid Rs. 350 to Food, Civil Supplies and Consumer Affairs in Amreli.",350,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",25,"Amreli","Gujarat",2015-10-12,22
"996","I Paid Rs. 300 to Commercial Tax, Sales Tax, VAT in Ambedkar Nagar.",300,"Commercial Tax, Sales Tax, VAT","C Form",18,"Ambedkar Nagar","Uttar Pradesh",2015-10-12,22
"997","I Paid Rs. 500 to Police in Bangalore.",500,"Police","Police Verification for Passport",12,"Bangalore","Karnataka",2015-10-12,22
"998","I Paid Rs. 900 to Railways in Bangalore.",900,"Railways","Transport of Goods",58,"Bangalore","Karnataka",2015-10-12,22
"999","I Paid Rs. 500 to Stamps and Registration in Bangalore.",500,"Stamps and Registration","Marriage Certificate",15,"Bangalore","Karnataka",2015-10-12,22
"1000","I Paid Rs. 500 to Customs, Excise and Service Tax in Abohar.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",73,"Abohar","Punjab",2015-10-12,22
