"","title","amount","dep","trans","views","city","states","date","time"
"640","I Paid Rs. 219 to Food, Civil Supplies and Consumer Affairs in Pithapuram.",219,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",36,"Pithapuram","Andhra Pradesh",2015-10-12,22
"641","I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Bangalore.",800,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",20,"Bangalore","Karnataka",2015-10-12,22
"642","I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.",500,"Customs, Excise and Service Tax","Customs Check and Clearance",28,"Bangalore","Karnataka",2015-10-12,22
"643","I Paid Rs. 432 to Police in Muzaffarpur.",432,"Police","Filing FIR",33,"Muzaffarpur","Bihar",2015-10-12,22
"644","I Paid Rs. 500 to Municipal Services in Bangalore.",500,"Municipal Services","Birth Certificate",28,"Bangalore","Karnataka",2015-10-12,22
"645","I Paid Rs. 2000 to Passport in Bangalore.",2000,"Passport","Passport Delivery",34,"Bangalore","Karnataka",2015-10-12,22
"646","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Harassment",26,"Bangalore","Karnataka",2015-10-12,22
"647","I Paid Rs. 1500 to Police in Bangalore.",1500,"Police","Police Harassment",25,"Bangalore","Karnataka",2015-10-12,22
"648","I Paid Rs. 500 to Commercial Tax, Sales Tax, VAT in Bangalore.",500,"Commercial Tax, Sales Tax, VAT","C Form",30,"Bangalore","Karnataka",2015-10-12,22
"649","I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Hyderabad.",1500,"Food, Civil Supplies and Consumer Affairs","Issue of Ration Card",62,"Hyderabad","Telangana",2015-10-12,22
"650","I Paid Rs. 800 to Stamps and Registration in Bangalore.",800,"Stamps and Registration","Registration of Flat or Apartment",29,"Bangalore","Karnataka",2015-10-12,22
"651","I Paid Rs. 15000 to Transport in Bangalore.",15000,"Transport","Registration of Vehicle",31,"Bangalore","Karnataka",2015-10-12,22
"652","I Paid Rs. 700 to Passport in Bangalore.",700,"Passport","Police Verification for Passport",37,"Bangalore","Karnataka",2015-10-12,22
"653","I Paid Rs. 2000 to Police in Bangalore.",2000,"Police","Police Harassment",27,"Bangalore","Karnataka",2015-10-12,22
"654","I Paid Rs. 900 to Police in Bangalore.",900,"Police","Police Harassment",22,"Bangalore","Karnataka",2015-10-12,22
"655","I Paid Rs. 1000 to Passport in Bangalore.",1000,"Passport","Passport Delivery",36,"Bangalore","Karnataka",2015-10-12,22
"656","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport","Passport Delivery",29,"Bangalore","Karnataka",2015-10-12,22
"657","I Paid Rs. 1600 to Police in Bangalore.",1600,"Police","Police Verification for Passport",26,"Bangalore","Karnataka",2015-10-12,22
"658","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Verification for Passport",23,"Bangalore","Karnataka",2015-10-12,22
"659","I Paid Rs. 2000 to Police in Bangalore.",2000,"Police","Traffic Violations",22,"Bangalore","Karnataka",2015-10-12,22
"660","I Paid Rs. 700 to Stamps and Registration in Bangalore.",700,"Stamps and Registration","Registration of Flat or Apartment",29,"Bangalore","Karnataka",2015-10-12,22
"661","I Paid Rs. 3500 to Police in Bangalore.",3500,"Police","Police Verification for Passport",20,"Bangalore","Karnataka",2015-10-12,22
"662","I Paid Rs. 600 to Stamps and Registration in Bangalore.",600,"Stamps and Registration","Registration of Property",30,"Bangalore","Karnataka",2015-10-12,22
"663","I Paid Rs. 692 to Stamps and Registration in Solapur.",692,"Stamps and Registration","Registration of Property",33,"Solapur","Maharashtra",2015-10-12,22
"664","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Verification for Passport",20,"Bangalore","Karnataka",2015-10-12,22
"665","I Paid Rs. 1500 to Railways in Bangalore.",1500,"Railways","Transport of Goods",200,"Bangalore","Karnataka",2015-10-12,22
"666","I Paid Rs. 862 to Stamps and Registration in Monoharpur.",862,"Stamps and Registration","Registration of Property",32,"Monoharpur","West Bengal",2015-10-12,22
"667","I Paid Rs. 1400 to Police in Bangalore.",1400,"Police","Traffic Violations",21,"Bangalore","Karnataka",2015-10-12,22
"668","I Paid Rs. 800 to Passport in Bangalore.",800,"Passport","Police Verification for Passport",26,"Bangalore","Karnataka",2015-10-12,22
"669","I Paid Rs. 500 to Transport in Bangalore.",500,"Transport","Duplicate Registration Certificate",40,"Bangalore","Karnataka",2015-10-12,22
"670","I Paid Rs. 800 to Police in Bangalore.",800,"Police","Police Verification for Passport",22,"Bangalore","Karnataka",2015-10-12,22
"671","I Paid Rs. 10000 to Customs, Excise and Service Tax in Bangalore.",10000,"Customs, Excise and Service Tax","Customs Check and Clearance",31,"Bangalore","Karnataka",2015-10-12,22
"672","I Paid Rs. 963 to Police in Raghunathpur.",963,"Police","Traffic Violations",22,"Raghunathpur","West Bengal",2015-10-12,22
"673","I Paid Rs. 1200 to Police in Bangalore.",1200,"Police","Police Harassment",19,"Bangalore","Karnataka",2015-10-12,22
